Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
28361, -0.9355469, 0.34191895, -0.060546875, 3.8452146, -0.122070305, 0.3662109, 61.0, 29.0, -3.0, 0
28380, -0.93688965, 0.3305664, -0.06518555, 3.7841794, -1.0986328, 0.61035156, 61.0, 29.0, -3.0, 0
28397, -0.9388428, 0.3326416, -0.060913086, 2.868652, -1.6479491, 1.0375977, 61.0, 29.0, -3.0, 0
28417, -0.93847656, 0.3470459, -0.053588867, 1.9531249, -1.8920897, 1.0375977, 63.0, 31.0, 0.0, 0
28436, -0.93481445, 0.34570312, -0.05834961, 1.9531249, -3.0517576, 2.2583008, 63.0, 31.0, 0.0, 0
28458, -0.94018555, 0.32861328, -0.056274414, 1.0375977, -3.3569334, 2.0751953, 63.0, 31.0, 0.0, 0
28476, -0.94311523, 0.3302002, -0.04675293, 0.9155273, -3.0517576, 0.48828122, 63.0, 31.0, 0.0, 0
28493, -0.93774414, 0.3511963, -0.04650879, 3.3569334, -3.2958982, -0.30517578, 63.0, 31.0, 0.0, 0
28513, -0.9210205, 0.33203125, -0.059692383, 4.0893555, -4.0283203, 0.30517578, 60.0, 29.0, -3.0, 0
28532, -0.9205322, 0.31848145, -0.052978516, 2.868652, -5.5541987, 3.0517576, 60.0, 29.0, -3.0, 0
28555, -0.92407227, 0.32373047, -0.034179688, -1.0375977, -4.9438477, 2.9907224, 60.0, 29.0, -3.0, 0
28573, -0.92211914, 0.34765625, -0.024291992, -3.173828, -4.5166016, 2.9296873, 60.0, 29.0, -3.0, 0
28589, -0.9213867, 0.35864258, -0.028198242, -2.807617, -4.4555664, 2.380371, 60.0, 29.0, -3.0, 0
28609, -0.9251709, 0.36572266, -0.029174805, -2.380371, -3.967285, 0.5493164, 60.0, 29.0, -3.0, 0
28627, -0.91882324, 0.3511963, -0.01928711, -2.7465818, -3.6621091, 0.61035156, 62.0, 29.0, 3.0, 0
28649, -0.9147949, 0.36987305, -0.020507812, -1.0375977, -3.4179685, 0.97656244, 62.0, 29.0, 3.0, 0
28667, -0.90393066, 0.36865234, -0.016479492, 1.0986328, -2.7465818, -0.061035153, 62.0, 29.0, 3.0, 0
28686, -0.9022217, 0.36108398, -0.01940918, 2.0141602, -1.4038085, -1.3427733, 62.0, 29.0, 3.0, 0
28707, -0.91516113, 0.35461426, -0.028320312, -0.3662109, 0.24414061, -4.211426, 62.0, 29.0, 3.0, 0
28725, -0.9407959, 0.3515625, -0.025756836, -5.310058, 1.159668, -5.4931636, 62.0, 30.0, -1.0, 0
28747, -0.9892578, 0.30908203, -0.03564453, -9.58252, 1.0986328, -2.380371, 62.0, 30.0, -1.0, 0
28766, -1.0467529, 0.28344727, -0.08544922, -10.131835, 1.586914, -0.9155273, 62.0, 30.0, -1.0, 0
28782, -1.1098633, 0.34020996, -0.11450195, -8.056641, 2.1362305, -10.31494, 62.0, 30.0, -1.0, 0
28805, -1.1600342, 0.335083, -0.051635742, -7.8124995, 2.6855466, -15.502929, 62.0, 30.0, -1.0, 0
28823, -1.175293, 0.27954102, -0.0107421875, -6.04248, 6.347656, -20.26367, 60.0, 32.0, -2.0, 0
28845, -1.2021484, 0.31433105, -0.0625, -0.18310545, 8.239746, -27.221678, 60.0, 32.0, -2.0, 0
28863, -1.2839355, 0.32421875, -0.05883789, 1.7700194, 13.793944, -36.010742, 60.0, 32.0, -2.0, 0
28881, -1.2697754, 0.29248047, -0.045166016, 9.887695, 18.737793, -38.024902, 60.0, 32.0, -2.0, 0
28902, -1.25354, 0.33813477, -0.068847656, 18.005371, 19.836426, -38.208008, 60.0, 32.0, -2.0, 0
28919, -1.2772217, 0.35253906, -0.07080078, 26.06201, 23.681639, -43.212887, 63.0, 27.0, -1.0, 0
28941, -1.3378906, 0.36450195, -0.025146484, 7.4462886, 30.700682, -49.255367, 63.0, 27.0, -1.0, 0
28959, -1.2683105, 0.41906738, 0.012084961, -7.7514644, 31.799314, -46.997066, 63.0, 27.0, -1.0, 0
28977, -1.0876465, 0.44030762, -0.011352539, 9.643555, 27.343748, -43.273922, 63.0, 27.0, -1.0, 0
29001, -1.0897217, 0.43762207, -0.0041503906, 20.324705, 27.465818, -52.185055, 63.0, 27.0, -1.0, 0
29018, -1.0430908, 0.43920898, 0.018310547, 8.178711, 27.404783, -54.077145, 59.0, 21.0, 2.0, 0
29060, -0.935791, 0.46936035, 0.0013427734, -8.178711, 15.624999, -30.2124, 59.0, 21.0, 2.0, 0
29042, -0.9609375, 0.46557617, -7.324219E-4, -5.981445, 20.996092, -42.29736, 59.0, 21.0, 2.0, 0
29078, -0.8930664, 0.5292969, 0.08154297, -20.751951, 17.089844, -28.625486, 59.0, 21.0, 2.0, 0
29098, -0.9210205, 0.5782471, 0.111328125, -22.460936, 18.920898, -29.113768, 59.0, 21.0, 2.0, 0
29116, -0.9399414, 0.5998535, 0.045043945, 6.6528316, 13.732909, -18.188477, 57.0, 17.0, -1.0, 0
29143, -0.6557617, 0.50146484, -0.03466797, 32.958984, 5.676269, -14.526366, 57.0, 17.0, -1.0, 0
29161, -0.6434326, 0.4777832, -0.004638672, 15.319823, 3.5400388, -12.145995, 57.0, 17.0, -1.0, 0
29179, -0.7421875, 0.5296631, 0.08996582, -14.22119, 4.0893555, -12.878417, 57.0, 17.0, -1.0, 0
29199, -0.77697754, 0.5621338, 0.16125488, -11.352538, 2.9907224, -11.169433, 57.0, 17.0, -1.0, 0
29216, -0.71606445, 0.60046387, 0.16992188, -9.58252, -0.061035153, -13.8549795, 56.0, 16.0, 3.0, 0
29239, -0.7264404, 0.6479492, 0.14697266, -17.333984, 0.42724606, -15.502929, 56.0, 16.0, 3.0, 0
29257, -0.8282471, 0.70214844, 0.09008789, 5.4321284, 0.48828122, -17.456055, 56.0, 16.0, 3.0, 0
29275, -0.78796387, 0.6414795, 0.099487305, 30.33447, -3.3569334, -22.766111, 56.0, 16.0, 3.0, 0
29295, -0.7285156, 0.6143799, 0.13208008, 32.958984, -4.0283203, -25.390623, 56.0, 16.0, 3.0, 0
29313, -0.67785645, 0.604126, 0.13842773, 16.357422, -5.615234, -21.301268, 56.0, 16.0, 3.0, 0
29330, -0.68029785, 0.6123047, 0.14282227, 12.145995, -5.5541987, -16.418457, 58.0, 12.0, 0.0, 0
29352, -0.802124, 0.63964844, 0.103881836, 26.123045, -3.9062498, -10.986327, 58.0, 12.0, 0.0, 0
29370, -0.7923584, 0.64990234, 0.067871094, 32.53174, -4.3945312, -11.9018545, 58.0, 12.0, 0.0, 0
29391, -0.6939697, 0.5656738, 0.0040283203, 39.611816, -6.2255855, -8.117676, 58.0, 12.0, 0.0, 0
29408, -0.6912842, 0.5303955, 0.037963867, 28.07617, -2.1362305, 3.2958982, 58.0, 12.0, 0.0, 0
29425, -0.7159424, 0.5617676, 0.049438477, 11.169433, 1.5258788, 6.103515, 53.0, 15.0, 3.0, 0
29447, -0.6385498, 0.49694824, -0.049804688, -0.793457, -3.0517576, 13.122558, 53.0, 15.0, 3.0, 0
29465, -0.65148926, 0.5482178, -0.03527832, -2.2583008, -2.380371, 15.930175, 53.0, 15.0, 3.0, 0
29486, -0.65930176, 0.60998535, 0.026977539, 3.5400388, -0.18310545, 14.648437, 53.0, 15.0, 3.0, 0
29504, -0.5316162, 0.46520996, -0.013793945, 15.624999, -11.840819, 24.475096, 53.0, 15.0, 3.0, 0
29520, -0.4456787, 0.40551758, -0.041870117, 12.878417, -15.99121, 33.081055, 53.0, 17.0, 4.0, 0
29542, -0.4000244, 0.42736816, -0.042236328, 3.5400388, -5.5541987, 35.27832, 53.0, 17.0, 4.0, 0
29560, -0.4984131, 0.49597168, -0.030395508, 2.319336, -2.9296873, 29.052732, 53.0, 17.0, 4.0, 0
29581, -0.5041504, 0.47338867, -0.0061035156, -7.93457, -2.380371, 24.780272, 53.0, 17.0, 4.0, 0
29599, -0.49829102, 0.48547363, -0.020751953, -16.662598, -1.4038085, 17.700195, 53.0, 17.0, 4.0, 0
29618, -0.5562744, 0.5142822, -0.025390625, -14.038085, 4.8217773, 5.004883, 58.0, 17.0, 4.0, 0
29640, -0.65527344, 0.5802002, 0.0059814453, -10.498046, 6.347656, -0.30517578, 58.0, 17.0, 4.0, 0
29658, -0.58984375, 0.4699707, 0.04321289, -9.643555, 0.9155273, 2.0751953, 58.0, 17.0, 4.0, 0
29700, -0.7657471, 0.52075195, 0.080078125, -12.390136, 10.19287, -4.211426, 58.0, 17.0, 4.0, 0
29682, -0.6245117, 0.45141602, 0.057495117, -15.686034, 2.5024414, 2.4414062, 58.0, 17.0, 4.0, 0
29718, -0.7390137, 0.5218506, 0.075805664, 8.178711, 9.521484, -11.169433, 54.0, 18.0, 6.0, 0
29760, -0.8161621, 0.46313477, 0.119384766, 12.512206, 7.690429, -12.451171, 54.0, 18.0, 6.0, 0
29781, -0.8914795, 0.46728516, 0.10083008, 13.549804, 6.347656, -10.375976, 54.0, 18.0, 6.0, 0
29798, -0.8309326, 0.44055176, 0.099731445, 8.972168, -0.30517578, -3.7841794, 54.0, 18.0, 6.0, 0
29816, -0.8399658, 0.4498291, 0.15527344, -7.141113, 0.67138666, 0.7324218, 54.0, 18.0, 6.0, 0
29835, -0.94641113, 0.536499, 0.14855957, -11.96289, 3.234863, 0.793457, 51.0, 16.0, 3.0, 0
29854, -0.8909912, 0.5529785, 0.049804688, -1.3427733, -1.4038085, 0.9155273, 51.0, 16.0, 3.0, 0
29872, -0.8314209, 0.5263672, 0.030883789, 0.48828122, -3.5400388, 1.3427733, 51.0, 16.0, 3.0, 0
29892, -0.83532715, 0.5253906, 0.09094238, -4.5776367, 0.97656244, 0.8544921, 51.0, 16.0, 3.0, 0
29910, -0.9400635, 0.59851074, 0.1081543, 2.0141602, 3.601074, -0.3662109, 51.0, 16.0, 3.0, 0
29927, -0.88500977, 0.6497803, 0.034179688, 24.963377, -6.103515, -0.61035156, 58.0, 18.0, 9.0, 0
29950, -0.7265625, 0.598999, 0.026733398, 35.461426, -11.047362, 4.0893555, 58.0, 18.0, 9.0, 0
29968, -0.73413086, 0.5291748, 0.08227539, 32.165527, -2.4414062, 8.483887, 58.0, 18.0, 9.0, 0
29992, -0.7282715, 0.5157471, 0.05126953, 31.555174, -2.1972656, 11.474608, 58.0, 18.0, 9.0, 0
30010, -0.5675049, 0.47216797, 0.030029297, 25.085447, -5.1269526, 5.187988, 58.0, 18.0, 9.0, 0
30027, -0.5065918, 0.4058838, 0.087402344, 9.460449, 0.5493164, -10.253905, 53.0, 19.0, 6.0, 0
30049, -0.50305176, 0.41796875, 0.14294434, -3.9062498, 5.4931636, -18.615723, 53.0, 19.0, 6.0, 0
30105, -0.53515625, 0.44055176, 0.1274414, -0.61035156, 13.0615225, -10.559081, 53.0, 19.0, 6.0, 0
30088, -0.44714355, 0.48449707, 0.103759766, -1.8310546, 6.896972, -10.0708, 53.0, 19.0, 6.0, 0
30067, -0.4296875, 0.46887207, 0.11303711, -5.1269526, 4.333496, -14.404296, 53.0, 19.0, 6.0, 0
30143, -0.49719238, 0.41308594, 0.11706543, -15.441894, 22.094725, -17.39502, 56.0, 14.0, 6.0, 0
30161, -0.56311035, 0.49328613, 0.21142578, -25.512693, 29.602049, -23.559568, 56.0, 14.0, 6.0, 0
30185, -0.5632324, 0.5140381, 0.15454102, -29.052732, 27.9541, -21.484373, 56.0, 14.0, 6.0, 0
30203, -0.5531006, 0.47924805, 0.07324219, -24.108885, 15.319823, -1.6479491, 56.0, 14.0, 6.0, 0
30218, -0.6710205, 0.40600586, 0.022460938, -11.230468, 10.681151, 14.587401, 55.0, 14.0, 4.0, 0
30240, -0.703125, 0.47192383, 0.099609375, -4.8828125, 12.695312, 13.122558, 55.0, 14.0, 4.0, 0
30258, -0.5461426, 0.5506592, 0.1373291, 4.9438477, 11.657714, 8.483887, 55.0, 14.0, 4.0, 0
30280, -0.63720703, 0.5554199, 0.17773438, 7.568359, 10.742187, 9.94873, 55.0, 14.0, 4.0, 0
30298, -0.85705566, 0.52404785, 0.17175293, -2.1972656, 1.2207031, 21.362303, 55.0, 14.0, 4.0, 0
30315, -0.83081055, 0.64868164, 0.09057617, 16.296387, -6.04248, 18.310547, 55.0, 14.0, 4.0, 0
30336, -0.70214844, 0.7116699, 0.10583496, 26.855467, -5.004883, 12.695312, 53.0, 15.0, 7.0, 0
30355, -0.9265137, 0.62072754, 0.2088623, 42.602535, 4.272461, 18.127441, 53.0, 15.0, 7.0, 0
30380, -0.9916992, 0.50842285, 0.2939453, 41.687008, -1.7700194, 21.301268, 53.0, 15.0, 7.0, 0
30398, -0.73083496, 0.4395752, 0.19848633, 35.7666, -13.671874, 23.437498, 53.0, 15.0, 7.0, 0
30413, -0.7628174, 0.5632324, 0.15649414, 23.315428, -17.39502, 23.071287, 53.0, 15.0, 7.0, 0
30434, -1.1413574, 0.64282227, 0.26953125, -10.681151, -15.563964, 23.376463, 59.0, 18.0, 6.0, 0
30453, -1.2116699, 0.54211426, 0.26391602, -13.366698, -15.99121, 35.827637, 59.0, 18.0, 6.0, 0
30473, -1.0102539, 0.5307617, 0.118652344, 0.122070305, -22.338865, 42.602535, 59.0, 18.0, 6.0, 0
30495, -0.98657227, 0.6369629, 0.07702637, 0.18310545, -21.91162, 40.954586, 59.0, 18.0, 6.0, 0
30509, -1.0290527, 0.6220703, 0.08728027, -7.629394, -18.432617, 27.893064, 59.0, 18.0, 6.0, 0
30527, -1.0053711, 0.48693848, 0.10986328, -9.82666, -18.310547, 20.568846, 61.0, 20.0, 6.0, 0
30549, -0.91955566, 0.4880371, 0.1159668, 0.122070305, -14.404296, 16.052246, 61.0, 20.0, 6.0, 0
30571, -0.9851074, 0.5012207, 0.14123535, 4.1503906, -12.268065, 15.136718, 61.0, 20.0, 6.0, 0
30592, -1.0864258, 0.4769287, 0.09716797, 11.9018545, -17.211914, 19.348145, 61.0, 20.0, 6.0, 0
30610, -1.0175781, 0.45288086, 0.029663086, 22.03369, -27.648924, 26.611326, 61.0, 20.0, 6.0, 0
30628, -0.9100342, 0.34924316, 0.02355957, 26.367186, -31.86035, 33.75244, 56.0, 23.0, 6.0, 0
30649, -0.9042969, 0.3269043, 0.079589844, 19.53125, -28.259275, 36.987305, 56.0, 23.0, 6.0, 0
30668, -1.0305176, 0.41918945, 0.10131836, 14.343261, -23.498533, 31.372068, 56.0, 23.0, 6.0, 0
30689, -1.0926514, 0.4104004, 0.06237793, 11.596679, -24.963377, 31.372068, 56.0, 23.0, 6.0, 0
30703, -1.0393066, 0.3552246, -0.004638672, 6.5307612, -28.137205, 37.231445, 56.0, 23.0, 6.0, 0
30722, -0.9991455, 0.33874512, -0.02355957, 3.234863, -28.930662, 36.376953, 60.0, 26.0, 4.0, 0
30743, -0.94506836, 0.31848145, -0.025512695, -14.038085, -28.259275, 27.526854, 60.0, 26.0, 4.0, 0
30763, -0.9996338, 0.34960938, 0.008300781, -21.91162, -27.282713, 25.268553, 60.0, 26.0, 4.0, 0
30784, -0.9992676, 0.3618164, 0.017944336, -30.822752, -26.733397, 27.038572, 60.0, 26.0, 4.0, 0
30801, -0.9815674, 0.36779785, 0.015625, -27.83203, -26.550291, 30.761717, 60.0, 26.0, 4.0, 0
30819, -0.986084, 0.3704834, 0.020874023, -24.230955, -21.667479, 24.597166, 60.0, 26.0, 4.0, 0
30840, -1.036377, 0.34753418, 0.017333984, -26.18408, -16.845703, 16.296387, 59.0, 25.0, 2.0, 0
30862, -1.0274658, 0.27893066, -0.01586914, -23.437498, -16.662598, 18.981934, 59.0, 25.0, 2.0, 0
30883, -1.0334473, 0.24621582, -0.05029297, -20.812986, -16.784668, 24.597166, 59.0, 25.0, 2.0, 0
30901, -1.067749, 0.25390625, -0.07067871, -21.728514, -15.747069, 20.446775, 59.0, 25.0, 2.0, 0
30919, -1.0921631, 0.2906494, -0.06262207, -22.583006, -15.075683, 14.587401, 59.0, 25.0, 2.0, 0
30939, -1.0861816, 0.29223633, -4.8828125E-4, -18.493652, -11.474608, 12.20703, 59.0, 29.0, -1.0, 0
30959, -1.0394287, 0.24890137, -0.0061035156, -5.5541987, -8.911133, 12.634276, 59.0, 29.0, -1.0, 0
30980, -1.0422363, 0.23730469, -0.030151367, 2.5634763, -6.1645503, 5.1269526, 59.0, 29.0, -1.0, 0
30997, -1.0601807, 0.2310791, -0.042114258, 2.6855466, -1.5258788, 0.0, 59.0, 29.0, -1.0, 0
31015, -1.0343018, 0.22375488, -0.06286621, 5.004883, 0.0, 2.1972656, 59.0, 29.0, -1.0, 0
31037, -1.0046387, 0.22692871, -0.07470703, 6.7138667, 0.48828122, 3.173828, 62.0, 29.0, -3.0, 0
31057, -0.9824219, 0.23291016, -0.076538086, 1.2817382, 3.234863, -1.8920897, 62.0, 29.0, -3.0, 0
31078, -0.98339844, 0.2409668, -0.07531738, -2.2583008, 3.9062498, -2.2583008, 62.0, 29.0, -3.0, 0
31096, -1.0041504, 0.2763672, -0.07861328, -8.361816, 4.638672, -2.0751953, 62.0, 29.0, -3.0, 0
31114, -1.0224609, 0.27026367, -0.07397461, -4.638672, 4.5166016, -1.5258788, 62.0, 29.0, -3.0, 0
31135, -1.0476074, 0.26635742, -0.087768555, -1.159668, 4.5166016, -2.6245115, 61.0, 28.0, -2.0, 0
31155, -1.1066895, 0.26489258, -0.06970215, 3.3569334, 7.202148, -10.742187, 61.0, 28.0, -2.0, 0
31179, -1.1668701, 0.2640381, -0.037353516, 4.272461, 13.122558, -12.817382, 61.0, 28.0, -2.0, 0
31196, -1.1873779, 0.29785156, -0.079589844, 14.587401, 17.51709, -21.728514, 61.0, 28.0, -2.0, 0
31214, -1.2171631, 0.27648926, -0.06628418, 18.798828, 24.16992, -34.5459, 61.0, 28.0, -2.0, 0
31237, -1.2519531, 0.21496582, 0.038208008, 6.2255855, 35.339355, -40.100098, 62.0, 28.0, 3.0, 0
31258, -1.30896, 0.23217773, 0.064453125, -9.399414, 44.67773, -46.44775, 62.0, 28.0, 3.0, 0
31279, -1.4156494, 0.33215332, -0.0056152344, -5.249023, 49.377438, -58.53271, 62.0, 28.0, 3.0, 0
31299, -1.4180908, 0.46313477, -0.014770508, 27.83203, 49.804684, -63.903805, 62.0, 28.0, 3.0, 0
31317, -1.3647461, 0.47192383, 0.03540039, 55.78613, 44.738766, -66.101074, 62.0, 28.0, 3.0, 0
31341, -1.2977295, 0.27941895, 0.009155273, 34.851074, 38.513184, -72.143555, 61.0, 18.0, 4.0, 0
31359, -1.1361084, 0.18518066, -0.07019043, -15.441894, 37.353516, -72.387695, 61.0, 18.0, 4.0, 0
31381, -1.0836182, 0.35717773, -0.016235352, -41.25976, 38.57422, -70.373535, 61.0, 18.0, 4.0, 0
31398, -1.026001, 0.5074463, 0.053100586, -28.19824, 30.639647, -64.51416, 61.0, 18.0, 4.0, 0
31416, -0.90234375, 0.53881836, 0.12219238, -17.333984, 22.705076, -50.47607, 61.0, 18.0, 4.0, 0
31440, -0.8713379, 0.6080322, 0.087402344, 2.0751953, 18.371582, -36.987305, 57.0, 18.0, 3.0, 0
31459, -0.8781738, 0.5325928, 0.07446289, 14.953612, 18.310547, -29.052732, 57.0, 18.0, 3.0, 0
31482, -0.850708, 0.44189453, 0.1003418, -9.155273, 17.700195, -17.089844, 57.0, 18.0, 3.0, 0
31500, -0.8029785, 0.49523926, 0.12646484, -36.315918, 17.63916, -12.390136, 57.0, 18.0, 3.0, 0
31521, -0.7800293, 0.5749512, 0.115234375, -36.743164, 15.747069, -6.469726, 57.0, 18.0, 3.0, 0
31542, -0.72351074, 0.6258545, 0.09069824, -16.296387, 11.96289, -1.7700194, 53.0, 20.0, 3.0, 0
31561, -0.70129395, 0.6604004, 0.15258789, -2.6855466, 13.8549795, -2.1362305, 53.0, 20.0, 3.0, 0
31582, -0.7513428, 0.67749023, 0.23803711, 5.7983394, 13.610839, -5.310058, 53.0, 20.0, 3.0, 0
31600, -0.79589844, 0.6533203, 0.26293945, 20.50781, 7.141113, -4.0283203, 53.0, 20.0, 3.0, 0
31618, -0.7780762, 0.6546631, 0.16711426, 33.14209, -4.699707, -3.7231443, 53.0, 20.0, 3.0, 0
31639, -0.71728516, 0.55041504, 0.17102051, 5.4931636, -16.662598, -6.1645503, 54.0, 18.0, 6.0, 0
31658, -0.7420654, 0.42382812, 0.1685791, -11.779784, -24.353025, 2.319336, 54.0, 18.0, 6.0, 0
31679, -0.7342529, 0.43615723, 0.17700195, -1.3427733, -27.709959, 12.573241, 54.0, 18.0, 6.0, 0
31701, -0.592041, 0.55041504, 0.17956543, -11.474608, -32.836914, 12.451171, 54.0, 18.0, 6.0, 0
31719, -0.57092285, 0.5280762, 0.12976074, -13.000487, -36.56006, 15.86914, 54.0, 18.0, 6.0, 0
31739, -0.6516113, 0.42199707, 0.09899902, 6.9580073, -32.165527, 31.433104, 52.0, 18.0, 4.0, 0
31762, -0.64453125, 0.45751953, 0.022583008, 16.540527, -27.465818, 34.729004, 52.0, 18.0, 4.0, 0
31780, -0.56555176, 0.493042, 0.037231445, 1.7089843, -23.254393, 28.747557, 52.0, 18.0, 4.0, 0
31802, -0.5969238, 0.4177246, 0.07080078, -16.967773, -15.197753, 37.902832, 52.0, 18.0, 4.0, 0
31820, -0.6870117, 0.4580078, 0.02331543, -12.878417, -8.7890625, 47.668453, 52.0, 18.0, 4.0, 0
31838, -0.6468506, 0.52490234, 0.0826416, -19.53125, -4.699707, 36.56006, 51.0, 23.0, 4.0, 0
31860, -0.567749, 0.38745117, 0.13830566, -38.635254, 1.4038085, 37.41455, 51.0, 23.0, 4.0, 0
31874, -0.56469727, 0.43737793, 0.07397461, -35.40039, 8.483887, 38.33008, 51.0, 23.0, 4.0, 0
31896, -0.55822754, 0.56469727, -0.07092285, -25.695799, 10.19287, 31.433104, 51.0, 23.0, 4.0, 0
31914, -0.5517578, 0.55126953, -0.091430664, -6.6528316, 3.4179685, 7.8124995, 51.0, 23.0, 4.0, 0
31933, -0.5858154, 0.49645996, -0.04309082, -5.7983394, 0.8544921, 2.0751953, 51.0, 22.0, 1.0, 0
31956, -0.5805664, 0.31481934, -0.07324219, -9.643555, -11.291503, 2.6245115, 51.0, 22.0, 1.0, 0
31973, -0.5743408, 0.31713867, -0.06567383, -18.737793, -13.427733, 3.6621091, 51.0, 22.0, 1.0, 0
31995, -0.65979004, 0.39770508, 0.05126953, -40.222164, -5.676269, -2.9907224, 51.0, 22.0, 1.0, 0
32013, -0.82922363, 0.52160645, 0.0146484375, -19.958496, -0.3662109, -10.864257, 51.0, 22.0, 1.0, 0
32054, -0.8543701, 0.4880371, -0.055908203, 25.024412, -2.868652, -1.7700194, 52.0, 23.0, 0.0, 0
32072, -0.88879395, 0.3852539, -0.021118164, 24.963377, 3.7841794, -2.9296873, 52.0, 23.0, 0.0, 0
32092, -0.95422363, 0.40637207, 0.0068359375, 9.155273, 7.263183, -7.263183, 52.0, 23.0, 0.0, 0
32110, -0.91467285, 0.4116211, -0.0030517578, -6.04248, 3.5400388, -2.6245115, 52.0, 23.0, 0.0, 0
32130, -0.8880615, 0.40270996, 0.007446289, -13.610839, 1.7700194, 7.3852534, 51.0, 23.0, -2.0, 0
32152, -0.9572754, 0.430542, 0.027954102, -11.596679, 4.272461, 6.9580073, 51.0, 23.0, -2.0, 0
32167, -0.94470215, 0.52612305, 0.017211914, -5.737304, 1.9531249, -4.8217773, 51.0, 23.0, -2.0, 0
32189, -0.88049316, 0.48828125, 0.028930664, -0.7324218, -1.2817382, -9.216309, 51.0, 23.0, -2.0, 0
32207, -0.8955078, 0.39794922, 0.05102539, 8.728027, -6.2255855, 2.7465818, 51.0, 23.0, -2.0, 0
32226, -0.9239502, 0.45739746, 0.052490234, 12.512206, -4.760742, 6.7138667, 52.0, 22.0, -1.0, 0
32248, -0.8769531, 0.4885254, 0.03503418, 14.22119, -7.5073237, 0.9155273, 52.0, 22.0, -1.0, 0
32266, -0.81970215, 0.4029541, 0.016601562, 8.117676, -7.5073237, 1.8310546, 52.0, 22.0, -1.0, 0
32286, -0.8614502, 0.38916016, 0.0030517578, 3.8452146, -5.310058, 2.9907224, 52.0, 22.0, -1.0, 0
32304, -0.8713379, 0.41760254, 3.6621094E-4, -0.48828122, -2.807617, 1.4648436, 52.0, 22.0, -1.0, 0
32325, -0.78356934, 0.44189453, -0.028930664, 0.0, -7.8124995, -0.67138666, 52.0, 22.0, -1.0, 0
32346, -0.65283203, 0.3684082, -0.032348633, -5.1269526, -11.840819, 1.3427733, 50.0, 23.0, 1.0, 0
32363, -0.64697266, 0.35437012, -0.020996094, -13.488769, -6.1645503, 2.7465818, 50.0, 23.0, 1.0, 0
32384, -0.6109619, 0.3881836, -0.041259766, -10.253905, -1.7700194, 1.8920897, 50.0, 23.0, 1.0, 0
32402, -0.49121094, 0.42370605, -0.06970215, 0.793457, -3.7231443, -2.1362305, 50.0, 23.0, 1.0, 0
32422, -0.43530273, 0.33862305, -0.008300781, 7.3242183, 2.0141602, -3.3569334, 50.0, 23.0, 1.0, 0
32444, -0.5209961, 0.27978516, 0.02734375, 7.8735347, 10.986327, -2.1972656, 49.0, 24.0, 5.0, 0
32463, -0.5123291, 0.29577637, -0.05529785, 9.887695, 12.634276, 2.868652, 49.0, 24.0, 5.0, 0
32488, -0.5546875, 0.3741455, -0.0015869141, 5.981445, 14.709472, 2.1972656, 49.0, 24.0, 5.0, 0
32506, -0.6062012, 0.37280273, 0.04345703, -5.310058, 21.240232, -2.5024414, 49.0, 24.0, 5.0, 0
32526, -0.6425781, 0.35534668, 0.07092285, -1.8920897, 17.51709, 2.9296873, 53.0, 24.0, 1.0, 0
32551, -0.68969727, 0.45739746, 0.0814209, 2.380371, 17.39502, 4.8217773, 53.0, 24.0, 1.0, 0
32571, -0.8671875, 0.5587158, 0.17700195, -0.24414061, 19.836426, 4.0893555, 53.0, 24.0, 1.0, 0
32593, -0.8413086, 0.51171875, 0.12854004, 6.1645503, 8.666992, 15.380858, 53.0, 24.0, 1.0, 0
32614, -0.68481445, 0.5020752, 6.1035156E-4, 16.906738, -0.97656244, 24.353025, 53.0, 24.0, 1.0, 0
32632, -0.87719727, 0.6343994, 0.010253906, -9.58252, 6.2255855, 7.629394, 52.0, 25.0, 1.0, 0
32655, -1.1072998, 0.5782471, 0.10595703, -48.0957, 9.887695, -5.9204097, 52.0, 25.0, 1.0, 0
32672, -0.9925537, 0.4390869, 0.088378906, -55.603024, 0.122070305, 6.347656, 52.0, 25.0, 1.0, 0
32694, -0.857666, 0.40856934, 0.052978516, -38.33008, -3.0517576, 17.39502, 52.0, 25.0, 1.0, 0
32712, -0.99316406, 0.5362549, 0.16210938, -18.371582, 7.8124995, 13.244628, 52.0, 25.0, 1.0, 0
32730, -0.975708, 0.5839844, 0.18237305, 3.7231443, 8.117676, 5.7983394, 53.0, 22.0, 0.0, 0
32754, -0.8983154, 0.5119629, 0.012939453, 28.686522, -5.3710933, 10.437011, 53.0, 22.0, 0.0, 0
32772, -1.0228271, 0.45141602, -0.107055664, 30.639647, -14.343261, 18.615723, 53.0, 22.0, 0.0, 0
32793, -1.0787354, 0.38256836, -0.009521484, 9.155273, -14.343261, 23.498533, 53.0, 22.0, 0.0, 0
32812, -0.9715576, 0.3692627, 0.10058594, -3.173828, -11.657714, 21.850584, 53.0, 22.0, 0.0, 0
32830, -0.91137695, 0.4630127, 0.07397461, 6.7138667, -11.291503, 12.817382, 53.0, 22.0, 0.0, 0
32848, -1.0422363, 0.56274414, 0.04309082, 11.9018545, -10.986327, 6.774902, 55.0, 26.0, 0.0, 0
